scope,window.type,window.startYear,window.endYear,window.mode,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,discovern,discoverN,discovern,discoverN,,1725.045,680,448,232,0.658824,2025-12-28,225.045,105
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,gn42,Gn42,gn42,Gn42,,1709.002,238,162,76,0.680672,2024-12-01,209.002,41
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,discovern,discoverN,discovern,discoverN,,1685.664,400,253,147,0.6325,2024-12-21,185.664,61
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,marzaboi,marzaboi,marzaboi,marzaboi,,1682.91,379,203,176,0.53562,2025-12-28,182.91,72
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,spockvidaloka,SpockVidaLoka,spockvidaloka,SpockVidaLoka,,1681.811,388,236,152,0.608247,2024-12-29,181.811,61
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,grajtow,grajtow,grajtow,grajtow,,1675.094,68,49,19,0.720588,2025-12-28,175.094,9
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,__noob__,__Noob__,__noob__,__Noob__,,1651.76,318,174,144,0.54717,2024-12-27,151.76,57
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,carvs,carvs,carvs,carvs,,1648.122,210,126,84,0.6,2024-12-13,148.122,31
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,ed_elric,Ed_Elric,ed_elric,Ed_Elric,,1647.959,173,112,61,0.647399,2025-11-22,147.959,26
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,niederschatten,Niederschatten,niederschatten,Niederschatten,,1642.504,325,184,141,0.566154,2025-12-28,142.504,59
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,oskiyaa,oskiyaa,oskiyaa,oskiyaa,,1637.62,193,109,84,0.564767,2024-12-14,137.62,30
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,ziofrancone,ziofrancone,ziofrancone,ziofrancone,,1634.604,271,166,105,0.612546,2025-12-28,134.604,46
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,olavojusmtm,OlavoJusMTM,olavojusmtm,OlavoJusMTM,,1632.33,54,38,16,0.703704,2024-08-16,132.33,8
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,todeshorst,Todeshorst,todeshorst,Todeshorst,,1631.646,43,31,12,0.72093,2025-11-15,131.646,5
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,luffydochapeudepalha,LuffyDoChapeuDePalha,luffydochapeudepalha,LuffyDoChapeuDePalha,,1630.697,869,530,339,0.609896,2024-12-29,130.697,129
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,adrowo,Adrowo,adrowo,Adrowo,,1625.668,83,51,32,0.614458,2025-11-15,125.668,13
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,walker735,Walker735,walker735,Walker735,,1623.109,347,210,137,0.605187,2025-12-28,123.109,61
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,barff,barff,barff,barff,,1622.848,189,117,72,0.619048,2024-12-27,122.848,30
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,brvnx,Brvnx,brvnx,Brvnx,,1619.212,154,90,64,0.584416,2025-12-28,119.212,24
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,drugo,Drugo,drugo,Drugo,,1618.258,94,54,40,0.574468,2025-12-28,118.258,15
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,sai199orz,sai199orz,sai199orz,sai199orz,,1617.746,194,102,92,0.525773,2025-11-16,117.746,32
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,rooney56,Rooney56,rooney56,Rooney56,,1617.547,49,32,17,0.653061,2024-12-13,117.547,8
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,luffydochapeudepalha,LuffyDoChapeuDePalha,luffydochapeudepalha,LuffyDoChapeuDePalha,,1615.864,1065,660,405,0.619718,2025-12-28,115.864,156
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,marshflats,MarshFlats,marshflats,MarshFlats,,1615.355,45,33,12,0.733333,2025-11-30,115.355,6
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,mahers,Mahers,mahers,Mahers,,1615.311,362,178,184,0.491713,2024-12-01,115.311,61
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,edo_01,Edo_01,edo_01,Edo_01,,1614.8,113,63,50,0.557522,2025-12-11,114.8,20
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,captain_tsubasa,Captain_Tsubasa,captain_tsubasa,Captain_Tsubasa,,1613.738,147,92,55,0.62585,2024-12-21,113.738,21
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,alessandropiraccini,AlessandroPiraccini,alessandropiraccini,AlessandroPiraccini,,1612.919,78,51,27,0.653846,2024-10-12,112.919,12
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,captain_tsubasa,Captain_Tsubasa,captain_tsubasa,Captain_Tsubasa,,1612.526,301,158,143,0.524917,2025-12-28,112.526,48
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,outzeroo,outZEROo,outzeroo,outZEROo,,1612.048,613,321,292,0.523654,2024-12-29,112.048,103
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,__noob__,__Noob__,__noob__,__Noob__,,1610.615,491,276,215,0.562118,2025-12-28,110.615,91
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,paulocabral_br,PauloCabral_Br,paulocabral_br,PauloCabral_Br,,1609.813,383,195,188,0.509138,2024-08-25,109.813,63
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,flower270,flower270,flower270,flower270,,1609.696,55,36,19,0.654545,2025-12-28,109.696,8
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,outzeroo,outZEROo,outzeroo,outZEROo,,1609.603,623,367,256,0.589085,2025-12-28,109.603,98
