scope,window.type,window.year,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,discovern,discoverN,discovern,discoverN,,1725.045,680,448,232,0.658824,2025-12-28,225.045,105
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,marzaboi,marzaboi,marzaboi,marzaboi,,1682.91,379,203,176,0.53562,2025-12-28,182.91,72
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,grajtow,grajtow,grajtow,grajtow,,1675.094,68,49,19,0.720588,2025-12-28,175.094,9
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,ed_elric,Ed_Elric,ed_elric,Ed_Elric,,1647.959,173,112,61,0.647399,2025-11-22,147.959,26
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,niederschatten,Niederschatten,niederschatten,Niederschatten,,1642.504,325,184,141,0.566154,2025-12-28,142.504,59
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,ziofrancone,ziofrancone,ziofrancone,ziofrancone,,1634.604,271,166,105,0.612546,2025-12-28,134.604,46
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,todeshorst,Todeshorst,todeshorst,Todeshorst,,1631.646,43,31,12,0.72093,2025-11-15,131.646,5
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,adrowo,Adrowo,adrowo,Adrowo,,1625.668,83,51,32,0.614458,2025-11-15,125.668,13
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,walker735,Walker735,walker735,Walker735,,1623.109,347,210,137,0.605187,2025-12-28,123.109,61
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,brvnx,Brvnx,brvnx,Brvnx,,1619.212,154,90,64,0.584416,2025-12-28,119.212,24
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,drugo,Drugo,drugo,Drugo,,1618.258,94,54,40,0.574468,2025-12-28,118.258,15
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,sai199orz,sai199orz,sai199orz,sai199orz,,1617.746,194,102,92,0.525773,2025-11-16,117.746,32
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,luffydochapeudepalha,LuffyDoChapeuDePalha,luffydochapeudepalha,LuffyDoChapeuDePalha,,1615.864,1065,660,405,0.619718,2025-12-28,115.864,156
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,marshflats,MarshFlats,marshflats,MarshFlats,,1615.355,45,33,12,0.733333,2025-11-30,115.355,6
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,edo_01,Edo_01,edo_01,Edo_01,,1614.8,113,63,50,0.557522,2025-12-11,114.8,20
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,captain_tsubasa,Captain_Tsubasa,captain_tsubasa,Captain_Tsubasa,,1612.526,301,158,143,0.524917,2025-12-28,112.526,48
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,__noob__,__Noob__,__noob__,__Noob__,,1610.615,491,276,215,0.562118,2025-12-28,110.615,91
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,flower270,flower270,flower270,flower270,,1609.696,55,36,19,0.654545,2025-12-28,109.696,8
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,outzeroo,outZEROo,outzeroo,outZEROo,,1609.603,623,367,256,0.589085,2025-12-28,109.603,98
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,ict95,ICT95,ict95,ICT95,,1608.617,140,81,59,0.578571,2025-08-31,108.617,22
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,o_danielakos,O_danielakos,o_danielakos,O_danielakos,,1608.584,240,131,109,0.545833,2025-12-21,108.584,43
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,brivenix,Brivenix,brivenix,Brivenix,,1608.173,176,102,74,0.579545,2025-09-27,108.173,28
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,gn42,Gn42,gn42,Gn42,,1607.713,80,52,28,0.65,2025-12-28,107.713,13
player,seasonal,2025,2026-05-02T03:43:10-03:00,29628,29852,2025,2025,luminati,Luminati,luminati,Luminati,,1607.675,986,570,416,0.578093,2025-12-28,107.675,156
