scope,window.type,window.year,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,discovern:::Mono Blue Terror,discoverN (Mono Blue Terror),discovern,discoverN,Mono Blue Terror,1680.045,314,210,104,0.66879,2024-12-21,180.045,46
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,denisevichalexey:::Jeskai Ephemerate,DenisevichAlexey (Jeskai Ephemerate),denisevichalexey,DenisevichAlexey,Jeskai Ephemerate,1652.821,131,88,43,0.671756,2024-06-08,152.821,21
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,gn42:::Azorius Familiars,Gn42 (Azorius Familiars),gn42,Gn42,Azorius Familiars,1649.171,157,108,49,0.687898,2024-12-01,149.171,28
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,__noob__:::Turbofog,__Noob__ (Turbofog),__noob__,__Noob__,Turbofog,1631.979,70,44,26,0.628571,2024-12-21,131.979,11
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,galeogiao:::Red Kuldotha,galeogiao (Red Kuldotha),galeogiao,galeogiao,Red Kuldotha,1628.565,74,51,23,0.689189,2024-10-18,128.565,11
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,kasa:::Cawgates,kasa (Cawgates),kasa,kasa,Cawgates,1628.389,76,52,24,0.684211,2024-06-08,128.389,11
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,beicodegeia:::Dimir Fae,Beicodegeia (Dimir Fae),beicodegeia,Beicodegeia,Dimir Fae,1627.167,239,155,84,0.648536,2024-12-13,127.167,36
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,outzeroo:::Grixis Affinity,outZEROo (Grixis Affinity),outzeroo,outZEROo,Grixis Affinity,1626.54,200,128,72,0.64,2024-12-27,126.54,30
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,barff:::Dimir Control,barff (Dimir Control),barff,barff,Dimir Control,1625.843,79,52,27,0.658228,2024-12-21,125.843,12
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,mahers:::Red Kuldotha,Mahers (Red Kuldotha),mahers,Mahers,Red Kuldotha,1620.212,300,154,146,0.513333,2024-12-01,120.212,49
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,mogged:::Affinity,Mogged (Affinity),mogged,Mogged,Affinity,1619.963,75,50,25,0.666667,2024-06-08,119.963,11
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,luffydochapeudepalha:::Grixis Affinity,LuffyDoChapeuDePalha (Grixis Affinity),luffydochapeudepalha,LuffyDoChapeuDePalha,Grixis Affinity,1617.927,508,333,175,0.655512,2024-12-29,117.927,74
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,msskinbolic:::Red Kuldotha,msskinbolic (Red Kuldotha),msskinbolic,msskinbolic,Red Kuldotha,1616.84,92,57,35,0.619565,2024-11-09,116.84,14
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,olavojusmtm:::Golgari Gardens,OlavoJusMTM (Golgari Gardens),olavojusmtm,OlavoJusMTM,Golgari Gardens,1614.54,30,24,6,0.8,2024-08-16,114.54,4
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,beicodegeia:::Goblin Class Combo,Beicodegeia (Goblin Class Combo),beicodegeia,Beicodegeia,Goblin Class Combo,1608.415,104,65,39,0.625,2024-06-29,108.415,15
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,seasonofmists:::Jund Broodscale,seasonofmists (Jund Broodscale),seasonofmists,seasonofmists,Jund Broodscale,1607.579,121,75,46,0.619835,2024-11-17,107.579,20
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,bolov0:::Boros Glitters,bolov0 (Boros Glitters),bolov0,bolov0,Boros Glitters,1605.819,30,23,7,0.766667,2024-03-31,105.819,4
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,gn42:::Dimir Fae,Gn42 (Dimir Fae),gn42,Gn42,Dimir Fae,1605.678,24,19,5,0.791667,2024-11-24,105.678,3
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,kirblinxy:::White Weenie,Kirblinxy (White Weenie),kirblinxy,Kirblinxy,White Weenie,1605.298,56,35,21,0.625,2024-11-16,105.298,8
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,foresterf:::Jeskai Ephemerate,Foresterf (Jeskai Ephemerate),foresterf,Foresterf,Jeskai Ephemerate,1603.077,110,69,41,0.627273,2024-08-16,103.077,16
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,ritualsinkhole:::Turbofog,RitualSinkhole (Turbofog),ritualsinkhole,RitualSinkhole,Turbofog,1602.429,83,54,29,0.650602,2024-12-15,102.429,14
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,pedrastone:::Grixis Affinity,PedraStone (Grixis Affinity),pedrastone,PedraStone,Grixis Affinity,1602.206,146,89,57,0.609589,2024-12-29,102.206,22
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,hamuda:::Goblin Class Combo,Hamuda (Goblin Class Combo),hamuda,Hamuda,Goblin Class Combo,1602.17,201,136,65,0.676617,2024-06-29,102.17,29
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,rgrzywocz:::Turbofog,RGrzywocz (Turbofog),rgrzywocz,RGrzywocz,Turbofog,1600.625,61,40,21,0.655738,2024-12-29,100.625,9
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,paulocabral_br:::Golgari Broodscale,PauloCabral_Br (Golgari Broodscale),paulocabral_br,PauloCabral_Br,Golgari Broodscale,1600.025,37,27,10,0.72973,2024-08-25,100.025,5
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,rooney56:::Grixis Affinity,Rooney56 (Grixis Affinity),rooney56,Rooney56,Grixis Affinity,1599.146,22,17,5,0.772727,2024-12-13,99.146,3
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,hype12232:::Golgari Broodscale,Hype12232 (Golgari Broodscale),hype12232,Hype12232,Golgari Broodscale,1597.637,21,17,4,0.809524,2024-10-12,97.637,3
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,bokyfloky:::Goblin Class Combo,BokyFloky (Goblin Class Combo),bokyfloky,BokyFloky,Goblin Class Combo,1597.233,88,58,30,0.659091,2024-07-05,97.233,13
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,mtgmoneymaker:::Grixis Affinity,MTGMoneyMaker (Grixis Affinity),mtgmoneymaker,MTGMoneyMaker,Grixis Affinity,1595.274,30,21,9,0.7,2024-09-14,95.274,4
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,andrea94:::Broodscale Combo,Andrea94 (Broodscale Combo),andrea94,Andrea94,Broodscale Combo,1595.236,22,18,4,0.818182,2024-07-28,95.236,3
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,wcl:::Red Kuldotha,wcl (Red Kuldotha),wcl,wcl,Red Kuldotha,1594.034,100,57,43,0.57,2024-11-09,94.034,15
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,beicodegeia:::Mono Blue Terror,Beicodegeia (Mono Blue Terror),beicodegeia,Beicodegeia,Mono Blue Terror,1590.002,86,53,33,0.616279,2024-12-22,90.002,13
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,carvs:::Dimir Terror,carvs (Dimir Terror),carvs,carvs,Dimir Terror,1589.643,18,14,4,0.777778,2024-12-13,89.643,2
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,condescend:::Grixis Affinity,Condescend (Grixis Affinity),condescend,Condescend,Grixis Affinity,1588.068,21,16,5,0.761905,2024-10-27,88.068,3
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,kinghairy:::Grixis Affinity,KingHairy (Grixis Affinity),kinghairy,KingHairy,Grixis Affinity,1587.042,28,21,7,0.75,2024-09-15,87.042,5
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,alessandropiraccini:::Golgari Gardens,AlessandroPiraccini (Golgari Gardens),alessandropiraccini,AlessandroPiraccini,Golgari Gardens,1586.972,49,32,17,0.653061,2024-09-08,86.972,7
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,carrot_eater:::Dimir Fae,carrot_eater (Dimir Fae),carrot_eater,carrot_eater,Dimir Fae,1586.957,48,30,18,0.625,2024-06-07,86.957,7
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,gybird:::Red Kuldotha,gybird (Red Kuldotha),gybird,gybird,Red Kuldotha,1586.248,69,42,27,0.608696,2024-07-06,86.248,10
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,ziofrancone:::Turbofog,ziofrancone (Turbofog),ziofrancone,ziofrancone,Turbofog,1585.269,37,25,12,0.675676,2024-05-05,85.269,5
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,nmt_sco94:::Boros Glitters,NMT_sco94 (Boros Glitters),nmt_sco94,NMT_sco94,Boros Glitters,1583.016,46,30,16,0.652174,2024-05-11,83.016,7
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,crazymorango:::Golgari Broodscale,CrazyMorango (Golgari Broodscale),crazymorango,CrazyMorango,Golgari Broodscale,1580.618,33,22,11,0.666667,2024-12-29,80.618,5
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,mikhathara1994:::Jund Broodscale,Mikhathara1994 (Jund Broodscale),mikhathara1994,Mikhathara1994,Jund Broodscale,1580.568,28,19,9,0.678571,2024-12-15,80.568,4
