playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,lastActiveDate
1198,1198,1198,1198,Mono Blue Faeries,1505.578,2024-12-20
__abijhavs_,__Abijhavs_,__abijhavs_,__Abijhavs_,,1508.896,2026-03-28
__bmj__,__BMJ__,__bmj__,__BMJ__,Rakdos Madness,1502.801,2025-06-07
__forge__,__forge__,__forge__,__forge__,UNKNOWN,1482.249,2025-07-11
__noob__,__Noob__,__noob__,__Noob__,UNKNOWN,1604.758,2026-05-10
_a.c.a.i_2007_,_a.c.a.i_2007_,_a.c.a.i_2007_,_a.c.a.i_2007_,Mono Blue Terror,1516.933,2024-11-03
_abijhavs_,_Abijhavs_,_abijhavs_,_Abijhavs_,Dimir Control,1491.61,2026-04-26
_against,_against,_against,_against,,1492.32,2024-08-23
_against_,_against_,_against_,_against_,Boros Gates,1619.597,2026-05-08
_atogatog_,_Atogatog_,_atogatog_,_Atogatog_,UNKNOWN,1505.719,2025-08-02
_babbuja_,_Babbuja_,_babbuja_,_Babbuja_,Dimir Fae,1537.017,2026-05-09
_ball_,_Ball_,_ball_,_Ball_,Golgari Pestilence,1486.79,2025-09-12
_batutinha_,_Batutinha_,_batutinha_,_Batutinha_,UNKNOWN,1535.711,2026-05-10
_blaze66,_blaze66,_blaze66,_blaze66,UNKNOWN,1593.381,2026-05-10
_boi_,_BOI_,_boi_,_BOI_,Red Kuldotha,1492.903,2024-05-03
_bound_,_Bound_,_bound_,_Bound_,UNKNOWN,1474.849,2025-11-02
_chamytinho_,_Chamytinho_,_chamytinho_,_Chamytinho_,UNKNOWN,1478.103,2025-05-16
_deadhorse,_DeadHorse,_deadhorse,_DeadHorse,UNKNOWN,1416.394,2026-02-22
_dissonance,_DissonancE,_dissonance,_DissonancE,Cawgates,1526.681,2024-04-20
_dissonance_,_DissonancE_,_dissonance_,_DissonancE_,Affinity,1510.446,2024-05-25
_dr4gun0v,_dr4gun0v,_dr4gun0v,_dr4gun0v,,1517.944,2024-08-03
_dr4gun0v_,_dr4gun0v_,_dr4gun0v_,_dr4gun0v_,UNKNOWN,1500.081,2025-08-02
_falcon_,_Falcon_,_falcon_,_Falcon_,UNKNOWN,1505.66,2026-05-10
_goblinlackey,_goblinlackey,_goblinlackey,_goblinlackey,White Weenie,1535.219,2024-08-04
_ilnano_,_IlNano_,_ilnano_,_IlNano_,UNKNOWN,1511.963,2026-05-10
_j0se_,_J0SE_,_j0se_,_J0SE_,Grixis Affinity,1522.062,2024-12-06
_joacof_,_joacof_,_joacof_,_joacof_,Cawgates,1450.955,2024-07-21
_johnzeira_,_Johnzeira_,_johnzeira_,_Johnzeira_,Hexproof,1494.063,2025-02-22
_joseba_,_Joseba_,_joseba_,_Joseba_,UNKNOWN,1503.365,2025-07-12
_khalmyr_,_KhAlMyR_,_khalmyr_,_KhAlMyR_,Few Land Spy,1507.553,2025-08-16
_luvi_,_Luvi_,_luvi_,_Luvi_,UNKNOWN,1431.237,2026-02-19
_mago_,_Mago_,_mago_,_Mago_,Red Kuldotha,1534.81,2024-09-08
_marian_,_Marian_,_marian_,_Marian_,Red Deck Wins,1514.384,2025-12-06
_me,_Me,_me,_Me,UNKNOWN,1486.323,2025-08-02
_mojo,_mOjo,_mojo,_mOjo,Defender Stampede,1461.482,2024-04-14
_moroii,_Moroii,_moroii,_Moroii,UNKNOWN,1473.443,2026-03-14
_paula_,_Paula_,_paula_,_Paula_,Red Kuldotha,1505.349,2025-01-17
_pwenot_,_pwenot_,_pwenot_,_pwenot_,UNKNOWN,1478.317,2026-05-10
_rash_,_rash_,_rash_,_rash_,Boros Synth,1564.291,2026-02-14
_rogusbr_,_Rogusbr_,_rogusbr_,_Rogusbr_,UNKNOWN,1483.434,2025-08-02
_ruda_,_ruda_,_ruda_,_ruda_,Grixis Affinity,1439.943,2024-07-06
_shatun_,_Shatun_,_shatun_,_Shatun_,UNKNOWN,1461.628,2025-12-28
_stream,_Stream,_stream,_Stream,Grixis Affinity,1481.963,2025-05-16
_tia93_,_Tia93_,_tia93_,_Tia93_,UNKNOWN,1510.861,2025-10-31
_tilt_,_Tilt_,_tilt_,_Tilt_,UNKNOWN,1478.134,2025-08-10
_titowii_96,_titoWii_96,_titowii_96,_titoWii_96,Monster Tron,1531.781,2026-05-10
_top_g,_TOP_G,_top_g,_TOP_G,UNKNOWN,1532.272,2025-07-13
_vladishew,_Vladishew,_vladishew,_Vladishew,UNKNOWN,1503.529,2025-08-02
_volkhart_,_VolkhaRt_,_volkhart_,_VolkhaRt_,Mono Blue Terror,1486.887,2026-05-02
_znt_,_ZNT_,_znt_,_ZNT_,UNKNOWN,1519.867,2026-02-22
_zodiak,_ZodiaK,_zodiak,_ZodiaK,Mono White Heroic,1485.083,2026-01-08
-hazy-,-HAZY-,-hazy-,-HAZY-,Mono Blue Faeries,1500.15,2024-12-07
-magicrick93-,-MagicRick93-,-magicrick93-,-MagicRick93-,Elves,1449.438,2026-04-05
-nausea-,-Nausea-,-nausea-,-Nausea-,UNKNOWN,1482.194,2025-11-30
-nicolo-,-Nicolo-,-nicolo-,-Nicolo-,UNKNOWN,1513.847,2026-03-07
-sefiro-,-Sefiro-,-sefiro-,-Sefiro-,UNKNOWN,1545.214,2025-07-13
-sire,-Sire,-sire,-Sire,UNKNOWN,1485.674,2025-05-31
009009009,009009009,009009009,009009009,UNKNOWN,1500.607,2025-11-15
0men,0men,0men,0men,Cycle Storm,1487.052,2025-01-19
16toneladas,16Toneladas,16toneladas,16Toneladas,UNKNOWN,1477.4,2025-07-12
19lnc91,19LNC91,19lnc91,19LNC91,UNKNOWN,1517.805,2025-04-25
1or513n86,1OR513N86,1or513n86,1OR513N86,Dimir Control,1494.215,2026-04-05
246uuu,246uuu,246uuu,246uuu,Mono Red Madness,1455.394,2026-04-04
2krewlop,2krewlop,2krewlop,2krewlop,UNKNOWN,1435.443,2026-03-13
2radmtg,2radMTG,2radmtg,2radMTG,Hexproof,1473.095,2025-05-03
336767322971,336767322971,336767322971,336767322971,Golgari Broodscale,1512.285,2024-10-12
337000000000,337000000000,337000000000,337000000000,Mono Blue Terror,1501.011,2024-06-08
3draw_tano,3draw_TANO,3draw_tano,3draw_TANO,Jund Wildfire,1543.815,2026-04-25
3vildr4k3,3vildr4k3,3vildr4k3,3vildr4k3,Golgari Gardens,1467.4,2025-11-22
416frowningtable,416FrowningTable,416frowningtable,416FrowningTable,UNKNOWN,1491.195,2025-08-02
420dragon,420dragon,420dragon,420dragon,Azorius Familiars,1535.792,2025-04-20
