event_id,source_event_name,display_name,series,source_system,event_type,date,year,month,total_players
online-challenge-2026-05-10,MTGO Challenge (2026-05-10),Challenge,Challenge,mtgo,online,2026-05-10,2026,5,55
online-showcase-2026-05-10,MTGO Showcase (2026-05-10),Showcase,Showcase,mtgo,online,2026-05-10,2026,5,192
online-challenge-2026-05-09,MTGO Challenge (2026-05-09),Challenge,Challenge,mtgo,online,2026-05-09,2026,5,49
online-challenge-2026-05-08,MTGO Challenge (2026-05-08),Challenge,Challenge,mtgo,online,2026-05-08,2026,5,56
online-challenge-2026-05-07,MTGO Challenge (2026-05-07),Challenge,Challenge,mtgo,online,2026-05-07,2026,5,46
online-challenge-2026-05-03,MTGO Challenge (2026-05-03),Challenge,Challenge,mtgo,online,2026-05-03,2026,5,53
online-challenge-2026-05-02,MTGO Challenge (2026-05-02),Challenge,Challenge,mtgo,online,2026-05-02,2026,5,52
online-challenge-2026-05-01,MTGO Challenge (2026-05-01),Challenge,Challenge,mtgo,online,2026-05-01,2026,5,61
online-challenge-2026-04-30,MTGO Challenge (2026-04-30),Challenge,Challenge,mtgo,online,2026-04-30,2026,4,54
online-challenge-2026-04-26,MTGO Challenge (2026-04-26),Challenge,Challenge,mtgo,online,2026-04-26,2026,4,56
online-challenge-2026-04-25,MTGO Challenge (2026-04-25),Challenge,Challenge,mtgo,online,2026-04-25,2026,4,39
online-challenge-2026-04-24,MTGO Challenge (2026-04-24),Challenge,Challenge,mtgo,online,2026-04-24,2026,4,52
online-challenge-2026-04-23,MTGO Challenge (2026-04-23),Challenge,Challenge,mtgo,online,2026-04-23,2026,4,36
online-challenge-2026-04-19,MTGO Challenge (2026-04-19),Challenge,Challenge,mtgo,online,2026-04-19,2026,4,66
online-challenge-2026-04-18,MTGO Challenge (2026-04-18),Challenge,Challenge,mtgo,online,2026-04-18,2026,4,52
online-challenge-2026-04-17,MTGO Challenge (2026-04-17),Challenge,Challenge,mtgo,online,2026-04-17,2026,4,49
online-challenge-2026-04-16,MTGO Challenge (2026-04-16),Challenge,Challenge,mtgo,online,2026-04-16,2026,4,45
online-challenge-2026-04-11,MTGO Challenge (2026-04-11),Challenge,Challenge,mtgo,online,2026-04-11,2026,4,47
online-challenge-2026-04-10,MTGO Challenge (2026-04-10),Challenge,Challenge,mtgo,online,2026-04-10,2026,4,54
online-challenge-2026-04-09,MTGO Challenge (2026-04-09),Challenge,Challenge,mtgo,online,2026-04-09,2026,4,48
online-challenge-2026-04-05,MTGO Challenge (2026-04-05),Challenge,Challenge,mtgo,online,2026-04-05,2026,4,88
online-challenge-2026-04-04,MTGO Challenge (2026-04-04),Challenge,Challenge,mtgo,online,2026-04-04,2026,4,57
online-challenge-2026-04-03,MTGO Challenge (2026-04-03),Challenge,Challenge,mtgo,online,2026-04-03,2026,4,65
online-challenge-2026-04-02,MTGO Challenge (2026-04-02),Challenge,Challenge,mtgo,online,2026-04-02,2026,4,56
online-challenge-2026-03-29,MTGO Challenge (2026-03-29),Challenge,Challenge,mtgo,online,2026-03-29,2026,3,78
online-challenge-2026-03-28,MTGO Challenge (2026-03-28),Challenge,Challenge,mtgo,online,2026-03-28,2026,3,59
online-challenge-2026-03-27,MTGO Challenge (2026-03-27),Challenge,Challenge,mtgo,online,2026-03-27,2026,3,64
online-challenge-2026-03-26,MTGO Challenge (2026-03-26),Challenge,Challenge,mtgo,online,2026-03-26,2026,3,41
online-challenge-2026-03-22,MTGO Challenge (2026-03-22),Challenge,Challenge,mtgo,online,2026-03-22,2026,3,63
online-challenge-2026-03-21,MTGO Challenge (2026-03-21),Challenge,Challenge,mtgo,online,2026-03-21,2026,3,40
online-challenge-2026-03-20,MTGO Challenge (2026-03-20),Challenge,Challenge,mtgo,online,2026-03-20,2026,3,53
online-challenge-2026-03-19,MTGO Challenge (2026-03-19),Challenge,Challenge,mtgo,online,2026-03-19,2026,3,43
online-challenge-2026-03-15,MTGO Challenge (2026-03-15),Challenge,Challenge,mtgo,online,2026-03-15,2026,3,76
online-challenge-2026-03-14,MTGO Challenge (2026-03-14),Challenge,Challenge,mtgo,online,2026-03-14,2026,3,50
online-challenge-2026-03-13,MTGO Challenge (2026-03-13),Challenge,Challenge,mtgo,online,2026-03-13,2026,3,60
online-challenge-2026-03-12,MTGO Challenge (2026-03-12),Challenge,Challenge,mtgo,online,2026-03-12,2026,3,49
online-challenge-2026-03-08,MTGO Challenge (2026-03-08),Challenge,Challenge,mtgo,online,2026-03-08,2026,3,62
online-challenge-2026-03-07,MTGO Challenge (2026-03-07),Challenge,Challenge,mtgo,online,2026-03-07,2026,3,50
