event_id,date,event_type,event,event_display_name,source_workbook,source_path,player_count,input_player_count,round_observation_count,match_count,paired_match_count,single_sided_match_count,conflicting_match_count,bye_round_count,unresolved_round_count
online-challenge-2024-03-16,2024-03-16,online,MTGO Challenge (2024-03-16),Challenge,16 March _24 Pauper Challenge 32 Matchups.xlsx,2024/March _24/16 March _24 Pauper Challenge 32 Matchups.xlsx,47,47,282,139,139,0,0,4,0
online-challenge-2024-03-17,2024-03-17,online,MTGO Challenge (2024-03-17),Challenge,17 March _24 Pauper Challenge 32 Matchups.xlsx,2024/March _24/17 March _24 Pauper Challenge 32 Matchups.xlsx,52,52,284,141,141,0,0,2,0
online-challenge-64-2024-03-17,2024-03-17,online,MTGO Challenge 64 (2024-03-17),Challenge 64,17 March _24 Pauper Challenge 64 Matchups.xlsx,2024/March _24/17 March _24 Pauper Challenge 64 Matchups.xlsx,64,64,370,185,182,2,1,2,0
online-challenge-2024-03-23,2024-03-23,online,MTGO Challenge (2024-03-23),Challenge,23 March _24 Pauper Challenge 32 Matchups.xlsx,2024/March _24/23 March _24 Pauper Challenge 32 Matchups.xlsx,50,50,301,149,149,0,0,3,0
online-challenge-2024-03-24,2024-03-24,online,MTGO Challenge (2024-03-24),Challenge,24 March _24 Pauper Challenge 32 Matchups.xlsx,2024/March _24/24 March _24 Pauper Challenge 32 Matchups.xlsx,45,45,273,134,134,0,0,5,0
online-challenge-64-2024-03-24,2024-03-24,online,MTGO Challenge 64 (2024-03-24),Challenge 64,24 March _24 Pauper Challenge 64 Matchups.xlsx,2024/March _24/24 March _24 Pauper Challenge 64 Matchups.xlsx,64,64,367,182,182,0,0,3,0
online-challenge-2024-03-30,2024-03-30,online,MTGO Challenge (2024-03-30),Challenge,30 March _24 Pauper Challenge 32 Matchups.xlsx,2024/March _24/30 March _24 Pauper Challenge 32 Matchups.xlsx,60,60,336,167,167,0,0,2,0
online-challenge-2024-03-31,2024-03-31,online,MTGO Challenge (2024-03-31),Challenge,31 March _24 Pauper Challenge 32 Matchups.xlsx,2024/March _24/31 March _24 Pauper Challenge 32 Matchups.xlsx,56,56,313,155,154,0,1,3,0
online-challenge-64-2024-03-31,2024-03-31,online,MTGO Challenge 64 (2024-03-31),Challenge 64,31 March _24 Pauper Challenge 64 Matchups.xlsx,2024/March _24/31 March _24 Pauper Challenge 64 Matchups.xlsx,70,70,477,237,234,1,2,3,0
online-challenge-2024-04-05,2024-04-05,online,MTGO Challenge (2024-04-05),Challenge,5 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/5 April _24 Pauper Challenge 32 Matchups.xlsx,64,64,353,175,175,0,0,3,0
online-challenge-2024-04-06,2024-04-06,online,MTGO Challenge (2024-04-06),Challenge,6 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/6 April _24 Pauper Challenge 32 Matchups.xlsx,68,68,428,213,213,0,0,2,0
online-challenge-2024-04-07,2024-04-07,online,MTGO Challenge (2024-04-07),Challenge,7 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/7 April _24 Pauper Challenge 32 Matchups.xlsx,55,55,291,144,144,0,0,3,0
online-challenge-64-2024-04-07,2024-04-07,online,MTGO Challenge 64 (2024-04-07),Challenge 64,7 April _24 Pauper Challenge 64 Matchups.xlsx,2024/April _24/7 April _24 Pauper Challenge 64 Matchups.xlsx,64,64,336,166,166,0,0,4,0
online-challenge-2024-04-12,2024-04-12,online,MTGO Challenge (2024-04-12),Challenge,12 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/12 April _24 Pauper Challenge 32 Matchups.xlsx,52,52,302,150,150,0,0,2,0
online-challenge-2024-04-13,2024-04-13,online,MTGO Challenge (2024-04-13),Challenge,13 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/13 April _24 Pauper Challenge 32 Matchups.xlsx,55,55,302,149,149,0,0,4,0
online-challenge-2024-04-14,2024-04-14,online,MTGO Challenge (2024-04-14),Challenge,14 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/14 April _24 Pauper Challenge 32 Matchups.xlsx,50,50,284,141,141,0,0,2,0
online-challenge-64-2024-04-14,2024-04-14,online,MTGO Challenge 64 (2024-04-14),Challenge 64,14 April _24 Pauper Challenge 64 Matchups.xlsx,2024/April _24/14 April _24 Pauper Challenge 64 Matchups.xlsx,75,75,471,234,234,0,0,3,0
online-challenge-2024-04-19,2024-04-19,online,MTGO Challenge (2024-04-19),Challenge,19 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/19 April _24 Pauper Challenge 32 Matchups.xlsx,62,62,339,170,167,2,1,1,0
online-challenge-2024-04-20,2024-04-20,online,MTGO Challenge (2024-04-20),Challenge,20 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/20 April _24 Pauper Challenge 32 Matchups.xlsx,49,49,280,138,138,0,0,4,0
online-showcase-2024-04-20,2024-04-20,online,MTGO Showcase (2024-04-20),Showcase,20 April _24 Pauper Showcase Matchups.xlsx,2024/April _24/20 April _24 Pauper Showcase Matchups.xlsx,132,132,855,427,425,2,0,3,0
online-challenge-2024-04-21,2024-04-21,online,MTGO Challenge (2024-04-21),Challenge,21 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/21 April _24 Pauper Challenge 32 Matchups.xlsx,52,52,302,150,150,0,0,2,0
online-challenge-64-2024-04-21,2024-04-21,online,MTGO Challenge 64 (2024-04-21),Challenge 64,21 April _24 Pauper Challenge 64 Matchups.xlsx,2024/April _24/21 April _24 Pauper Challenge 64 Matchups.xlsx,74,74,476,236,236,0,0,4,0
online-challenge-2024-04-26,2024-04-26,online,MTGO Challenge (2024-04-26),Challenge,26 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/26 April _24 Pauper Challenge 32 Matchups.xlsx,63,63,353,152,150,0,2,3,46
online-challenge-2024-04-27,2024-04-27,online,MTGO Challenge (2024-04-27),Challenge,27 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/27 April _24 Pauper Challenge 32 Matchups.xlsx,49,49,275,135,135,0,0,5,0
online-challenge-2024-04-28,2024-04-28,online,MTGO Challenge (2024-04-28),Challenge,28 April _24 Pauper Challenge 32 Matchups.xlsx,2024/April _24/28 April _24 Pauper Challenge 32 Matchups.xlsx,46,46,263,129,129,0,0,5,0
online-challenge-64-2024-04-28,2024-04-28,online,MTGO Challenge 64 (2024-04-28),Challenge 64,28 April _24 Pauper Challenge 64 Matchups.xlsx,2024/April _24/28 April _24 Pauper Challenge 64 Matchups.xlsx,64,64,365,182,182,0,0,1,0
online-challenge-2024-05-03,2024-05-03,online,MTGO Challenge (2024-05-03),Challenge,3 May _24 Pauper Challenge 32 Matchups.xlsx,2024/May _24/3 May _24 Pauper Challenge 32 Matchups.xlsx,59,59,327,161,161,0,0,5,0
online-challenge-2024-05-04,2024-05-04,online,MTGO Challenge (2024-05-04),Challenge,4 May _24 Pauper Challenge 32 Matchups.xlsx,2024/May _24/4 May _24 Pauper Challenge 32 Matchups.xlsx,54,54,314,156,156,0,0,2,0
online-challenge-2024-05-05,2024-05-05,online,MTGO Challenge (2024-05-05),Challenge,5 May _24 Pauper Challenge 32 Matchups.xlsx,2024/May _24/5 May _24 Pauper Challenge 32 Matchups.xlsx,41,41,250,122,122,0,0,6,0
online-challenge-64-2024-05-05,2024-05-05,online,MTGO Challenge 64 (2024-05-05),Challenge 64,5 May _24 Pauper Challenge 64 Matchups.xlsx,2024/May _24/5 May _24 Pauper Challenge 64 Matchups.xlsx,67,67,421,209,209,0,0,3,0
